slug;name;letter;category;teaser;body;example;synonyms;related;source
applicant-tracking-keyword-screening;Applicant Tracking / Keyword-Screening;A;Tools & Anwendungen;KI-gestütztes Vorsortieren von Bewerbungen nach Schlagwörtern in einem Bewerbermanagementsystem.;KI-gestütztes Vorsortieren von Bewerbungen nach Schlagwörtern in einem Bewerbermanagementsystem.;Ein System filtert von 500 Bewerbungen automatisch jene heraus, die den Begriff Projektmanagement nicht enthalten.;"[""Applicant Tracking"",""Keyword-Screening"",""Applicant Tracking System"",""ATS"",""Bewerberverfolgung""]";"[""bewerbungs-screening"",""verbot-vollautomatisierter-personalentscheidungen"",""bias-verzerrung"",""scoring""]";
artefakt;Artefakt;A;Technik & Daten;Von der KI erzeugtes eigenständiges Ausgabeobjekt wie ein interaktives Dashboard oder ein Dokument.;Von der KI erzeugtes eigenständiges Ausgabeobjekt wie ein interaktives Dashboard oder ein Dokument.;Aus einer Datentabelle lässt ein Nutzer die KI ein interaktives Dashboard als Artefakt erstellen.;"[""Artefakt"",""Artifact"",""Claude-Artefakt"",""KI-Artefakt""]";"[""claude"",""svg-grafik-claude"",""cowork""]";
asana;Asana;A;Tools & Anwendungen;Aufgaben- und Projektmanagement-Tool, das als Datenquelle in Workflows und Agenten eingebunden werden kann.;Aufgaben- und Projektmanagement-Tool, das als Datenquelle in Workflows und Agenten eingebunden werden kann.;Ein Automatisierungsworkflow legt aus eingehenden Kundenmails automatisch passende Aufgaben in Asana an.;"[""Asana""]";"[""connector-konnektor"",""orchestrierung"",""n8n"",""automatisierungstools""]";
antizipation;Antizipation;A;Management & Strategie;Fähigkeit der Führung, Markt- und Wettbewerbsveränderungen früh zu erkennen und strategisch darauf zu reagieren.;Fähigkeit der Führung, Markt- und Wettbewerbsveränderungen früh zu erkennen und strategisch darauf zu reagieren.;Ein Unternehmen wertet mit KI laufend Fachmedien und Social Media aus und erkennt einen aufkommenden Trend vor den Wettbewerbern.;"[""Antizipation"",""Antizipation von Markt- und Wettbewerbsveränderungen"",""Vorausschau"",""vorausschauendes Handeln""]";"[""schnellere-marktreaktion"",""first-mover-vorteil"",""wertschoepfung-durch-ki""]";
attention-aufmerksamkeit;Attention (Aufmerksamkeit);A;Technik & Daten;Mechanismus in neuronalen Netzen, der Teilen der Eingabe unterschiedliche Gewichtung gibt und relevante Zusammenhänge erkennt.;"Der Attention-Mechanismus in KI beschreibt die Fähigkeit von Systemen, ihren „Fokus“ auf die wichtigsten Teile eines Eingabedatensatzes zu richten. Jede Eingabe erhält ein Gewicht, das ihre Relevanz im Kontext bestimmt. Dies ermöglicht präzisere Analysen und effizientere Informationsverarbeitung.

Arten: Self-Attention (jedes Token beachtet andere Tokens im Satz, genutzt in Transformers), Bahdanau-Attention (frühe Form für Sequenz-zu-Sequenz-Modelle), Scaled Dot-Product Attention (in modernen Modellen), Hierarchische Attention (auf Satz- und Dokumentebene).

Attention hat NLP revolutioniert: Transformer-Modelle wie GPT und BERT basieren vollständig darauf. Es verbessert die Kontextverarbeitung, ist flexibel (für Text, Bilder, Multimodaldaten) und hat Durchbrüche in maschineller Übersetzung, Textzusammenfassung und Fragenbeantwortung ermöglicht.";Beim Übersetzen eines Satzes gewichtet das Modell die Bezugswörter stärker, um das richtige Geschlecht eines Pronomens zu wählen.;"[""Attention"",""Aufmerksamkeit"",""Attention-Mechanismus"",""Self-Attention"",""Aufmerksamkeitsmechanismus""]";"[""transformer"",""large-language-model-grosses-sprachmodell"",""neuronales-netzwerk"",""deep-learning""]";https://ki-manager-methoden.lovable.app/glossar
audit-trails-logs;Audit Trails / Logs;A;Recht & Regulatorik;Protokollierung jeder Entscheidung und Aktion eines Systems für die nachträgliche Prüfung.;Protokollierung jeder Entscheidung und Aktion eines Systems für die nachträgliche Prüfung.;Ein KI-System zur Kreditvergabe protokolliert für jede Entscheidung die verwendeten Merkmale, um sie später prüfbar zu machen.;"[""Audit Trails"",""Logs"",""Audit-Trail"",""Protokolle"",""Prüfpfad"",""Protokollierung""]";"[""protokollierung-logging"",""nachweis-und-dokumentationspflicht"",""erklaerbarkeit"",""fehlende-datenspur"",""ki-governance""]";
audit-vs-monitoring;Audit vs. Monitoring;A;Methoden & Frameworks;Unterscheidung zwischen laufender Überwachung (Monitoring) und punktueller Tiefenprüfung (Audit).;Unterscheidung zwischen laufender Überwachung (Monitoring) und punktueller Tiefenprüfung (Audit).;Ein Unternehmen überwacht ein Modell täglich auf Modelldrift und führt jährlich ein umfassendes Audit der Compliance durch.;"[""Audit vs. Monitoring"",""Audit und Monitoring"",""Prüfung vs. Überwachung""]";"[""modelldrift-konzeptdrift"",""bias-monitoring"",""zertifizierung-audit-auditoren"",""ki-governance"",""protokollierung-logging""]";
aufbewahrungs-und-loeschfristen-loeschgebot;Aufbewahrungs- und Löschfristen (Löschgebot);A;Recht & Regulatorik;Grundsatz, Daten zu löschen, sobald ihr Zweck entfällt, sofern keine gesetzliche Aufbewahrungspflicht besteht.;Grundsatz, Daten zu löschen, sobald ihr Zweck entfällt, sofern keine gesetzliche Aufbewahrungspflicht besteht.;Bewerbungsunterlagen abgelehnter Kandidaten werden nach der gesetzlichen Frist gelöscht, Rechnungsdaten dagegen zehn Jahre aufbewahrt.;"[""Aufbewahrungs- und Löschfristen"",""Löschgebot"",""Löschfristen"",""Aufbewahrungsfristen"",""Löschpflicht""]";"[""dsgvo"",""din-66398-loeschkonzept"",""dsgvo-grundprinzipien"",""datenschutz-als-querschnittsthema""]";
auftragsverarbeitungsvertrag-avv;Auftragsverarbeitungsvertrag (AVV);A;Recht & Regulatorik;Nach DSGVO verpflichtender Vertrag mit einem Anbieter, der personenbezogene Daten im Auftrag verarbeitet.;Nach DSGVO verpflichtender Vertrag mit einem Anbieter, der personenbezogene Daten im Auftrag verarbeitet.;Bevor ein Unternehmen ein Cloud-KI-Tool einführt, schließt es mit dem Anbieter einen Auftragsverarbeitungsvertrag ab.;"[""Auftragsverarbeitungsvertrag"",""AVV"",""AV-Vertrag"",""Auftragsverarbeitung"",""Data Processing Agreement"",""DPA""]";"[""dsgvo"",""us-cloud-act"",""datenschutz-als-querschnittsthema"",""vendor-lock-in""]";
aufwand-nutzen-verhaeltnis;Aufwand-Nutzen-Verhältnis;A;Management & Strategie;Bewertungsdimension, die Kosten inklusive Change dem Nutzen inklusive Skalierbarkeit und Reputation gegenüberstellt.;Bewertungsdimension, die Kosten inklusive Change dem Nutzen inklusive Skalierbarkeit und Reputation gegenüberstellt.;In einer Priorisierungsmatrix wird ein Use Case mit geringem Aufwand und hohem Nutzen als Quick Win eingestuft.;"[""Aufwand-Nutzen-Verhältnis"",""Aufwand-Nutzen-Relation"",""Cost-Benefit"",""Aufwand und Nutzen""]";"[""kosten-nutzen-abwaegung"",""priorisierungsmatrix"",""quick-wins"",""roi-return-on-investment"",""strategische-priorisierung""]";
ausnutzung-von-schwaechen;Ausnutzung von Schwächen;A;Recht & Regulatorik;Nach EU AI Act verbotenes gezieltes Ansprechen vulnerabler Gruppen wie Kinder oder Menschen in Krisen.;Nach EU AI Act verbotenes gezieltes Ansprechen vulnerabler Gruppen wie Kinder oder Menschen in Krisen.;Eine App, die die emotionale Notlage von Nutzern gezielt ausnutzt, um teure Käufe auszulösen, wäre verboten.;"[""Ausnutzung von Schwächen"",""Ausnutzen von Vulnerabilitäten"",""Exploitation von Schwächen"",""Ausnutzung vulnerabler Gruppen""]";"[""verbotene-ki-praktiken"",""unannehmbares-risiko"",""manipulation-unter-der-wahrnehmungsschwelle"",""verbotene-ki-inakzeptables-risiko""]";
